dataset,subject_id,canonical_finger_position,plain_self_status,plain_self_raw_score,roll_self_status,roll_self_raw_score,base_plain_roll_pair_id,reason_flags
sd300c,00001285,9,ok,0.0,ok,1166.1001890502716,sd300c_plain_roll_00001285_09,plain_self_below_40
sd300c,00001285,10,ok,23.165117663467225,ok,815.9917965633709,sd300c_plain_roll_00001285_10,plain_self_below_40
sd300c,00001289,5,,,ok,1154.2463823054504,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001289,10,ok,23.165117663467225,ok,1177.9539965186484,sd300c_plain_roll_00001289_10,plain_self_below_40
sd300c,00001303,10,ok,31.89454412241004,ok,1177.9539965186484,sd300c_plain_roll_00001303_10,plain_self_below_40
sd300c,00001309,2,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001309_02,plain_self_below_40
sd300c,00001309,10,ok,0.0,ok,1142.392574837074,sd300c_plain_roll_00001309_10,plain_self_below_40
sd300c,00001310,5,,,ok,659.2946117194232,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001318,2,ok,23.165117663467225,ok,443.4717626543328,sd300c_plain_roll_00001318_02,plain_self_below_40
sd300c,00001318,5,ok,0.0,ok,86.92861580798822,sd300c_plain_roll_00001318_05,plain_self_below_40
sd300c,00001318,10,ok,350.20417780943853,ok,23.165117663467225,sd300c_plain_roll_00001318_10,roll_self_below_40
sd300c,00001322,6,ok,0.0,ok,1166.1001890502716,sd300c_plain_roll_00001322_06,plain_self_below_40
sd300c,00001323,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001323,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001329,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001329,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001335,5,,,ok,885.5036331163262,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001335,10,,,ok,710.9858799436263,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001348,7,ok,23.165117663467225,ok,1177.9539965186484,sd300c_plain_roll_00001348_07,plain_self_below_40
sd300c,00001352,7,ok,31.89454412241004,ok,1177.9539965186484,sd300c_plain_roll_00001352_07,plain_self_below_40
sd300c,00001355,10,ok,0.0,ok,303.57038520610286,sd300c_plain_roll_00001355_10,plain_self_below_40
sd300c,00001356,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001356,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001362,3,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001364,9,ok,23.165117663467225,ok,1154.2463823054504,sd300c_plain_roll_00001364_09,plain_self_below_40
sd300c,00001364,10,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001364_10,plain_self_below_40
